player_one,score_player_one,player_two,score_player_two,winner,template,player_one_hero,player_two_hero,bidding_amount,ending_day,created_at,turns_played,player_one_town,player_one_colour,player_two_town,player_two_colour,template_type
javedin,1,Zwyrolek,0,javedin,mt_Firewalk,nymus,xyron,-3700,135,2021-05-25 17:57:40,19.0,inferno,red,inferno,blue,Mirror
Myrthan,1,bloniek,0,Myrthan,6lm10a/tp,aine,ivor,800,122,2021-05-25 19:52:12,9.0,tower,red,rampart,blue,XL+U
Kexibq2134,1,Arytmetyczny,0,Kexibq2134,mt_Firewalk,illor,jeremy,5600,124,2021-05-26 09:58:54,11.0,cove,red,cove,blue,Mirror
Kexibq2134,1,Arytmetyczny,0,Kexibq2134,6lm10a/tp,shakti,ivor,3100,132,2021-05-26 09:58:54,16.0,dungeon,red,rampart,blue,XL+U
[SDK] Ravciozo,0,Rotede,1,Rotede,Nostalgia/TP,tyraxor,aine,-2300,131,2021-05-26 10:37:29,15.0,stronghold,red,tower,blue,XL+U
AnanasowyJoe,0,Maester,1,Maester,6lm10a/tp,wystan,shakti,2300,126,2021-05-27 16:23:22,13.0,fortress,red,dungeon,blue,XL+U
Mroq,0,Ceres,1,Ceres,h3dm1/3,monere,pasis,800,114,2021-05-27 16:44:10,4.0,conflux,red,conflux,blue,Mirror
Przemo_oo3,0,Ceres,1,Ceres,h3dm1/3,alkin,andra,-900,124,2021-05-27 16:46:11,11.0,fortress,red,fortress,blue,Mirror
Piekielny_Aniol,0,jacajackson,1,jacajackson,6lm10a/tp,shakti,ivor,3600,124,2021-05-27 21:16:46,11.0,dungeon,red,rampart,blue,XL+U
Matrido,1,Abozykk,0,Matrido,mt_Firewalk,astral,aine,-4600,121,2021-05-28 20:28:03,8.0,tower,red,tower,blue,Mirror
Abozykk,1,Herosolo,0,Abozykk,6lm10a/tp,ivor,solmyr,-1700,134,2021-05-29 06:15:45,18.0,rampart,red,tower,blue,XL+U
Minos3212,0,DrizztDrizzt,1,DrizztDrizzt,h3dm1/3,eovacius,anabel,800,133,2021-05-29 06:17:41,17.0,cove,red,cove,blue,Mirror
Jajko,1,Radianer,0,Jajko,Nostalgia/TP,ivor,solmyr,-1300,137,2021-05-29 06:20:08,21.0,rampart,red,tower,blue,XL+U
Radianer,0,Myrthan,1,Myrthan,6lm10a/tp,lorelei,anabel,-1700,127,2021-05-29 06:21:34,14.0,dungeon,red,cove,blue,XL+U
Soczi80,1,Radianer,0,Soczi80,6lm10a/tp,drakon,ivor,2100,124,2021-05-29 06:23:07,11.0,fortress,red,rampart,blue,XL+U
Radianer,0,Roberto,1,Roberto,6lm10a/tp,anabel,thant,-1300,132,2021-05-29 06:36:17,16.0,cove,red,necropolis,blue,XL+U
Niechcic,1,Rotede,0,Niechcic,6lm10a/tp,ivor,tyraxor,-4800,132,2021-05-29 10:05:47,16.0,rampart,red,stronghold,blue,XL+U
Niechcic,1,Rotede,0,Niechcic,Nostalgia/TP,ivor,aine,-800,126,2021-05-29 10:05:47,13.0,rampart,red,tower,blue,XL+U
Siwak66,0,Cez,1,Cez,6lm10a/tp,thant,calh,-5100,212,2021-05-29 10:12:18,30.0,necropolis,red,inferno,blue,XL+U
SzarikPies,0,Kacpi1906,1,Kacpi1906,Nostalgia/TP,shakti,valeska,-2200,132,2021-05-29 12:28:40,16.0,dungeon,red,castle,blue,XL+U
Flisiu,1,banan1222,0,Flisiu,6lm10a/tp,ivor,wystan,-2200,134,2021-05-29 12:45:37,18.0,rampart,red,fortress,blue,XL+U
wickedskinner,0,Zuk00,1,Zuk00,Nostalgia/TP,grindan,thant,1200,212,2021-05-29 12:50:03,30.0,conflux,red,necropolis,blue,XL+U
Dacul CB,0,Becel,1,Becel,Nostalgia/TP,tyraxor,thant,4100,144,2021-05-29 13:03:51,25.0,stronghold,red,necropolis,blue,XL+U
TselNabis,1,Hiszpan,0,TselNabis,h3dm1/3,aenain,pasis,-800,134,2021-05-29 13:06:37,18.0,conflux,red,conflux,blue,Mirror
szhzs,0,Nrets,1,Nrets,mt_Andromeda,alkin,tazar,-1200,132,2021-05-29 13:18:08,16.0,fortress,red,fortress,blue,Mirror
Krzynsztof,0,Klaudo98,1,Klaudo98,mt_Firewalk,aenain,ciele,4900,123,2021-05-29 13:27:31,10.0,conflux,red,conflux,blue,Mirror
Toki96,1,// Jagienka //,0,Toki96,6lm10a/tp,ivor,tyraxor,-3800,136,2021-05-29 13:35:22,20.0,rampart,red,stronghold,blue,XL+U
Spinaonic,1,CONOP,0,Spinaonic,Nostalgia/TP,luna,drakon,-3400,135,2021-05-29 13:38:21,19.0,conflux,red,fortress,blue,XL+U
sudokuwbetlejem,1,Klaudo98,0,sudokuwbetlejem,mt_Andromeda,daremyth,astral,-700,132,2021-05-29 13:44:27,16.0,tower,red,tower,blue,Mirror
#Lysy,0,.Crlx,1,.Crlx,h3dm1/3,jeremy,leena,800,133,2021-05-29 13:50:13,17.0,cove,red,cove,blue,Mirror
Zenon_Smerf,0,Xeno[CV],1,Xeno[CV],6lm10a/tp,aine,thant,1500,213,2021-05-29 14:17:54,31.0,tower,red,necropolis,blue,XL+U
Podejrzanyy,0,chochla,1,chochla,h3dm1/3,jenova,coronius,900,113,2021-05-29 14:19:43,3.0,rampart,red,rampart,blue,Mirror
Tur3k,1,KniazJarema,0,Tur3k,6lm10a/tp,anabel,calh,-3300,134,2021-05-29 14:23:37,18.0,cove,red,inferno,blue,XL+U
Aine,0,Valerin Bizonov,1,Valerin Bizonov,6lm10a/tp,valeska,wystan,-3500,145,2021-05-29 14:26:02,26.0,castle,red,fortress,blue,XL+U
DziowaniDziadzia,0,Terror Antiquus,1,Terror Antiquus,6lm10a/tp,anabel,wystan,3000,w/o,2021-05-29 14:30:08,,cove,red,fortress,blue,XL+U
-MSF-,1,Antyintel,0,-MSF-,Nostalgia/TP,calh,thant,5500,212,2021-05-29 16:33:09,30.0,inferno,red,necropolis,blue,XL+U
Woźny888,0,mikii,1,mikii,Nostalgia/TP,ivor,thant,4000,135,2021-05-29 17:38:27,19.0,rampart,red,necropolis,blue,XL+U
Grzechen88,1,siofo,0,Grzechen88,6lm10a/tp,aine,anabel,400,137,2021-05-29 18:55:14,21.0,tower,red,cove,blue,XL+U
beltalowda,1,Szimi93pl,0,beltalowda,Nostalgia/TP,valeska,calh,-3800,132,2021-05-30 07:24:54,16.0,castle,red,inferno,blue,XL+U
Drumdancer,0,madeo,1,madeo,h3dm1/3,bron,andra,-1000,127,2021-05-30 07:30:31,14.0,fortress,red,fortress,blue,Mirror
Rexim,1,Vens,0,Rexim,Nostalgia/TP,luna,anabel,-3200,143,2021-05-30 09:43:52,24.0,conflux,red,cove,blue,XL+U
Templar,0,crag.hack,1,crag.hack,h3dm1/3,shiva,crag hack,-700,136,2021-05-30 09:57:25,20.0,stronghold,red,stronghold,blue,Mirror
Korczi,1,JuraBKS,0,Korczi,Nostalgia/TP,grindan,valeska,-3100,211,2021-05-30 14:15:07,29.0,conflux,red,castle,blue,XL+U
Kevin,1,sebastos,0,Kevin,h3dm1/3,gundula,terek,-700,124,2021-05-30 16:04:58,11.0,stronghold,red,stronghold,blue,Mirror
Trakris,1,Noob=ever,0,Trakris,6lm10a/tp,ivor,tyraxor,-8800,145,2021-05-30 17:42:28,26.0,rampart,red,stronghold,blue,XL+U
Burymistrz,1,Jon_Snow_,0,Burymistrz,Nostalgia/TP,thant,ivor,-3800,211,2021-05-30 17:57:24,29.0,necropolis,red,rampart,blue,XL+U
KesZu,0,Venefiz,1,Venefiz,Nostalgia/TP,wystan,valeska,-3500,133,2021-05-31 07:53:43,17.0,fortress,red,castle,blue,XL+U
Crackbrained,1,Niechcic,0,Crackbrained,6lm10a/tp,calh,luna,-4600,127,2021-05-31 07:59:32,14.0,inferno,red,conflux,blue,XL+U
W4rchi,0,Tyranuxus,1,Tyranuxus,6lm10a/tp,tyraxor,aine,-1800,142,2021-05-31 08:03:08,23.0,stronghold,red,tower,blue,XL+U
Dadalus,0,Gumis,1,Gumis,h3dm1/3,gundula,crag hack,-1000,124,2021-05-31 08:05:10,11.0,stronghold,red,stronghold,blue,Mirror
Niechcic,0,Arytmetyczny,1,Arytmetyczny,mt_Andromeda,xyron,octavia,-900,141,2021-05-31 08:07:20,22.0,inferno,red,inferno,blue,Mirror
Szopa666,1,W4rchi,0,Szopa666,6lm10a/tp,thant,ivor,5500,136,2021-05-31 08:09:36,20.0,necropolis,red,rampart,blue,XL+U
Yarzapp,0,sudokuwbetlejem,1,sudokuwbetlejem,Nostalgia/TP,thant,anabel,-4600,134,2021-05-31 08:22:16,18.0,necropolis,red,cove,blue,XL+U
Karkus,1,Pawelwaw,0,Karkus,h3dm1/3,leena,jeremy,-700,134,2021-05-31 08:24:15,18.0,cove,red,cove,blue,Mirror
mitsurugi321,0,Synestesiac,1,Synestesiac,mt_Firewalk,illor,jeremy,-5000,134,2021-05-31 10:30:33,18.0,cove,red,cove,blue,Mirror
Findan,1,Grzechen88,0,Findan,6lm10a/tp,valeska,ivor,-100,136,2021-05-31 10:33:49,20.0,castle,red,rampart,blue,XL+U
RitoSux,1,Ziemian,0,RitoSux,mt_Andromeda,marius,nymus,1100,123,2021-06-02 18:27:09,10.0,inferno,red,inferno,blue,Mirror
jacajackson,1,majoseek,0,jacajackson,6lm10a/tp,aine,tyraxor,-200,131,2021-06-04 10:09:58,15.0,tower,red,stronghold,blue,XL+U
Synestesiac,0,siofo,1,siofo,6lm10a/tp,tazar,thant,3100,134,2021-06-04 10:11:58,18.0,fortress,red,necropolis,blue,XL+U
[SDK] Ravciozo,1,OddajMake,0,[SDK] Ravciozo,6lm10a/tp,grindan,aine,-3900,135,2021-06-04 10:13:59,19.0,conflux,red,tower,blue,XL+U
Aproh,1,Tsar Konrad,0,Aproh,h3dm1/3,shiva,terek,800,131,2021-06-04 10:24:41,15.0,stronghold,red,stronghold,blue,Mirror
[SDK] Ravciozo,0,Tsar Konrad,1,Tsar Konrad,mt_Firewalk,coronius,aeris,5000,132,2021-06-04 10:28:26,16.0,rampart,red,rampart,blue,Mirror
[SDK] Ravciozo,0,Tsar Konrad,1,Tsar Konrad,6lm10a/tp,valeska,anabel,-800,124,2021-06-04 10:28:26,11.0,castle,red,cove,blue,XL+U
Aproh,1,Rotede,0,Aproh,h3dm1/3,daremyth,astral,800,122,2021-06-04 10:33:19,9.0,tower,red,tower,blue,Mirror
Tsar Konrad,1,Jan Pegasus 2,0,Tsar Konrad,h3dm1/3,damacon,lorelei,-900,134,2021-06-04 10:35:31,18.0,dungeon,red,dungeon,blue,Mirror
Rotede,1,Jan Pegasus 2,0,Rotede,Nostalgia/TP,calh,valeska,3700,133,2021-06-04 10:40:48,17.0,inferno,red,castle,blue,XL+U
Klusek,0,miesoarmatniee,1,miesoarmatniee,6lm10a/tp,anabel,astral,800,122,2021-06-04 14:38:37,9.0,cove,red,tower,blue,XL+U
Machberet,1,Brodazy,0,Machberet,6lm10a/tp,tyraxor,ivor,2300,115,2021-06-04 14:40:38,5.0,stronghold,red,rampart,blue,XL+U
Machberet,1,#Lysy,0,Machberet,mt_Andromeda,brissa,monere,900,121,2021-06-04 14:42:53,8.0,conflux,red,conflux,blue,Mirror
Herosolo,0,wnukos,1,wnukos,mt_Firewalk,damacon,dace,2500,133,2021-06-04 14:53:19,17.0,dungeon,red,dungeon,blue,Mirror
Santi_Nazarini,0,Suonic,1,Suonic,h3dm1/3,astral,daremyth,-1200,126,2021-06-04 14:59:29,13.0,tower,red,tower,blue,Mirror
Jajko,1,gee,0,Jajko,Nostalgia/TP,thant,tazar,-4900,135,2021-06-04 15:03:39,19.0,necropolis,red,fortress,blue,XL+U
Radianer,0,gee,1,gee,6lm10a/tp,tyraxor,shakti,3200,111,2021-06-04 15:07:00,1.0,stronghold,red,dungeon,blue,XL+U
szakal102,1,Radianer,0,szakal102,Nostalgia/TP,calh,aine,1000,131,2021-06-04 15:09:27,15.0,inferno,red,tower,blue,XL+U
chochla,0,Zenon_Smerf,1,Zenon_Smerf,mt_Andromeda,coronius,jenova,-1000,126,2021-06-04 15:12:45,13.0,rampart,red,rampart,blue,Mirror
Ronoroa,1,eurano,0,Ronoroa,h3dm1/3,sorsha,orrin,-500,135,2021-06-04 15:21:36,19.0,castle,red,castle,blue,Mirror
jt1911,0,Ronoroa,1,Ronoroa,h3dm1/3,andra,bron,1000,131,2021-06-04 15:23:18,15.0,fortress,red,fortress,blue,Mirror
Lipathor,0,Banita,1,Banita,h3dm1/3,gundula,crag hack,-800,127,2021-06-04 15:25:01,14.0,stronghold,red,stronghold,blue,Mirror
Wladca wunszy,0,Odelle,1,Odelle,h3dm1/3,giselle,jenova,-800,211,2021-06-04 17:21:49,29.0,rampart,red,rampart,blue,Mirror
Bulbet,0,Aproh,1,Aproh,h3dm1/3,illor,leena,-800,135,2021-06-04 17:47:34,19.0,cove,red,cove,blue,Mirror
Rotede,0,Lord Davy,1,Lord Davy,h3dm1/3,xyron,octavia,800,133,2021-06-04 17:50:10,17.0,inferno,red,inferno,blue,Mirror
Cruzen,1,Crackbrained,0,Cruzen,6lm10a/tp,anabel,valeska,-400,135,2021-06-05 09:44:16,19.0,cove,red,castle,blue,XL+U
Cruzen,1,Crackbrained,0,Cruzen,Nostalgia/TP,shakti,tyraxor,-1600,126,2021-06-05 09:44:16,13.0,dungeon,red,stronghold,blue,XL+U
Grzechen88,1,Synestesiac,0,Grzechen88,Mini-nostalgia,thant,calh,-4000,222,2021-06-05 09:54:37,37.0,necropolis,red,inferno,blue,Other
sebastos,1,Akabes,0,sebastos,h3dm1/3,lord haart,beatrice,700,113,2021-06-06 05:52:57,3.0,castle,red,castle,blue,Mirror
BOARtek,1,Fafhrd,0,BOARtek,h3dm1/3,beatrice,lord haart,900,136,2021-06-06 06:47:00,20.0,castle,red,castle,blue,Mirror
GALAXER00,1,AcidLord,0,GALAXER00,mt_Firewalk,astral,neela,5000,135,2021-06-06 08:17:46,19.0,tower,red,tower,blue,Mirror
rybson1,1,Bartt666,0,rybson1,Nostalgia/TP,aine,ignatius,-700,212,2021-06-06 08:55:24,30.0,tower,red,inferno,blue,XL+U
jacekchess,1,Tiasir,0,jacekchess,h3dm1/3,coronius,aeris,700,121,2021-06-06 10:30:11,8.0,rampart,red,rampart,blue,Mirror
Karczums,0,Nicolaz,1,Nicolaz,Nostalgia/TP,calh,valeska,1300,135,2021-06-06 15:49:01,19.0,inferno,red,castle,blue,XL+U
Kamgooner,1,BartMc,0,Kamgooner,6lm10a/tp,tyraxor,gunnar,2000,126,2021-06-06 15:56:43,13.0,stronghold,red,dungeon,blue,XL+U
Trailblazer,1,Kamgooner,0,Trailblazer,6lm10a/tp,valeska,tyraxor,-3000,125,2021-06-06 15:59:21,12.0,castle,red,stronghold,blue,XL+U
Ciepel,1,adam1223,0,Ciepel,mt_Firewalk,aeris,coronius,5400,116,2021-06-06 16:00:45,6.0,rampart,red,rampart,blue,Mirror
Rzaku,0,materaldo,1,materaldo,Nostalgia/TP,luna,valeska,-300,143,2021-06-07 13:54:36,24.0,conflux,red,castle,blue,XL+U
Lord Davy,0,Bartus,1,Bartus,mt_MP,adelaide,caitlin,0,125,2021-06-07 14:01:32,12.0,castle,red,castle,blue,Mirror
KretMMz,0,Korczi,1,Korczi,mt_Firewalk,mutare drake,mutare,-4700,127,2021-06-07 14:10:06,14.0,dungeon,red,dungeon,blue,Mirror
AksOlek,1,Makiki,0,AksOlek,mt_Firewalk,caitlin,adelaide,-3000,133,2021-06-07 14:54:32,17.0,castle,red,castle,blue,Mirror
Drachenfels,0,bzzzz,0,Remis,6lm10a/tp,luna,eovacius,-4000,127,2021-06-07 19:13:14,14.0,conflux,red,cove,blue,XL+U
Klaudo98,1,Spinaonic,0,Klaudo98,mt_Firewalk,tazar,mirlanda,-4900,121,2021-06-09 08:50:01,8.0,fortress,red,fortress,blue,Mirror
Tagliafico,1,Xanimi,0,Tagliafico,mt_Firewalk,wystan,mirlanda,-5800,131,2021-06-09 08:54:19,15.0,fortress,red,fortress,blue,Mirror
Zuk00,0,TselNabis,1,TselNabis,Nostalgia/TP,aine,luna,200,131,2021-06-09 08:57:24,15.0,tower,red,conflux,blue,XL+U
CanWeLoad?,1,Hyde,0,CanWeLoad?,mt_Firewalk,drakon,wystan,-4900,125,2021-06-09 09:02:32,12.0,fortress,red,fortress,blue,Mirror
The_spot,1,KniazJarema,0,The_spot,h3dm1/3,ajit,sephinroth,800,135,2021-06-09 09:19:40,19.0,dungeon,red,dungeon,blue,Mirror
DziowaniDziadzia,0,Valerin Bizonov,1,Valerin Bizonov,6lm10a/tp,valeska,anabel,-3000,113,2021-06-09 09:23:37,3.0,castle,red,cove,blue,XL+U
javedin,1,Mrkracy,0,javedin,mt_Firewalk,caitlin,adelaide,4300,117,2021-06-09 09:28:59,7.0,castle,red,castle,blue,Mirror
Valerin Bizonov,0,-MSF-,1,-MSF-,6lm10a/tp,anabel,wystan,-2200,121,2021-06-09 09:31:10,8.0,cove,red,fortress,blue,XL+U
Zwyrolek,0,Aine,1,Aine,mt_Andromeda,octavia,nymus,-1000,133,2021-06-09 09:36:28,17.0,inferno,red,inferno,blue,Mirror
heluuuu,1,Machberet,0,heluuuu,Nostalgia/TP,calh,thant,4700,135,2021-06-09 10:21:01,19.0,inferno,red,necropolis,blue,XL+U
alpaca,0,tuti_fruti23,1,tuti_fruti23,mt_Andromeda,nymus,xyron,-800,135,2021-06-09 13:30:34,19.0,inferno,red,inferno,blue,Mirror
madeo,1,SzymonFlorek,0,madeo,h3dm1/3,bron,wystan,-800,212,2021-06-09 16:03:04,30.0,fortress,red,fortress,blue,Mirror
pdemianczuk,0,GALAXER00,1,GALAXER00,6lm10a/tp,anabel,luna,2900,146,2021-06-09 16:17:05,27.0,cove,red,conflux,blue,XL+U
isenthor,1,Bujal,0,isenthor,6lm10a/tp,aine,vidomina,4000,146,2021-06-09 16:23:55,27.0,tower,red,necropolis,blue,XL+U
bloniek,0,Soczi80,1,Soczi80,6lm10a/tp,gretchin,aine,2700,132,2021-06-09 18:11:20,16.0,stronghold,red,tower,blue,XL+U
DrizztDrizzt,0,szakal102,1,szakal102,h3dm1/3,tyris,lord haart,1000,141,2021-06-09 18:12:54,22.0,castle,red,castle,blue,Mirror
KORONIARZ,1,OstelikS,0,KORONIARZ,Nostalgia/TP,ivor,grindan,2500,132,2021-06-09 18:14:56,16.0,rampart,red,conflux,blue,XL+U
Antyintel,0,DziowaniDziadzia,1,DziowaniDziadzia,mt_Firewalk,sandro,nagash,-6300,127,2021-06-09 18:16:34,14.0,necropolis,red,necropolis,blue,Mirror
DziowaniDziadzia,1,javedin,0,DziowaniDziadzia,Nostalgia/TP,shakti,wystan,-1100,122,2021-06-09 18:21:18,9.0,dungeon,red,fortress,blue,XL+U
Burymistrz,1,Makiki,0,Burymistrz,h3dm1/3,gretchin,gundula,700,114,2021-06-09 19:25:51,4.0,stronghold,red,stronghold,blue,Mirror
Malkiz,0,Burymistrz,1,Burymistrz,h3dm1/3,mephala,elleshar,-1000,117,2021-06-09 19:28:13,7.0,rampart,red,rampart,blue,Mirror
bartek097,0,rpgowiecPL,1,rpgowiecPL,6lm10a/tp,solmyr,ivor,2900,134,2021-06-09 20:02:03,18.0,tower,red,rampart,blue,XL+U
gornik,1,kris116,0,gornik,6lm10a/tp,ivor,cassiopeia,-4600,227,2021-06-09 20:04:32,42.0,rampart,red,cove,blue,XL+U
berkas,1,Szczypas,0,berkas,6lm10a/tp,ivor,grindan,3700,127,2021-06-09 20:19:58,14.0,rampart,red,conflux,blue,XL+U
Szczypas,0,Ardian,1,Ardian,h3dm1/3,brissa,ciele,-700,136,2021-06-09 20:36:08,20.0,conflux,red,conflux,blue,Mirror
Pawelwaw,0,Flisiu,1,Flisiu,h3dm1/3,elleshar,jenova,700,116,2021-06-10 13:44:29,6.0,rampart,red,rampart,blue,Mirror
Mrkracy,0,KORONIARZ,1,KORONIARZ,6lm10a/tp,shakti,anabel,-2000,136,2021-06-10 13:48:07,20.0,dungeon,red,cove,blue,XL+U
OstelikS,0,javedin,1,javedin,h3dm1/3,damacon,sephinroth,1200,136,2021-06-10 13:51:56,20.0,dungeon,red,dungeon,blue,Mirror
Suonic,1,Jaa209,0,Suonic,Nostalgia/TP,calh,wystan,1600,212,2021-06-11 16:27:36,30.0,inferno,red,fortress,blue,XL+U
Lanthan,0,Santi_Nazarini,1,Santi_Nazarini,6lm10a/tp,tyraxor,luna,2600,134,2021-06-11 16:44:15,18.0,stronghold,red,conflux,blue,XL+U
michail117,1,Piekielny_Aniol,0,michail117,Nostalgia/TP,cyra,tyraxor,-3100,125,2021-06-11 19:57:40,12.0,tower,red,stronghold,blue,XL+U
sudokuwbetlejem,1,Krzynsztof,0,sudokuwbetlejem,Nostalgia/TP,shakti,valeska,3700,146,2021-06-12 10:20:59,27.0,dungeon,red,castle,blue,XL+U
Zandarz,1,Shyfayren,0,Zandarz,Nostalgia/TP,wystan,anabel,300,136,2021-06-12 18:06:50,20.0,fortress,red,cove,blue,XL+U
Rexim,0,crag.hack,1,crag.hack,mt_Antares,cyra,astral,-700,143,2021-06-13 18:11:22,24.0,tower,red,tower,blue,Mirror
Szimi93pl,1,Templar,0,Szimi93pl,mt_Antares,septienna,isra,-900,144,2021-06-13 18:19:27,25.0,necropolis,red,necropolis,blue,Mirror
Kevin,0,beltalowda,1,beltalowda,h3dm1/3,adela,lord haart,-700,125,2021-06-13 18:41:31,12.0,castle,red,castle,blue,Mirror
Venefiz,1,Dawidu_91,0,Venefiz,Nostalgia/TP,aine,alamar,-3500,126,2021-06-13 18:53:33,13.0,tower,red,dungeon,blue,XL+U
Gumis,1,Crackbrained,0,Gumis,6lm10a/tp,calh,tyraxor,2700,125,2021-06-13 20:08:40,12.0,inferno,red,stronghold,blue,XL+U
Vertr0X,0,alvar,0,Remis,6lm10a/tp,anabel,solmyr,-2000,143,2021-06-13 20:21:14,24.0,cove,red,tower,blue,XL+U
Becel,1,Tagliafico,0,Becel,Nostalgia/TP,wystan,valeska,900,135,2021-06-13 21:30:42,19.0,fortress,red,castle,blue,XL+U
bartekkita,1,MikiWaikiki,0,bartekkita,mt_Firewalk,adelaide,adela,-3600,125,2021-06-14 09:27:54,12.0,castle,red,castle,blue,Mirror
banan1222,1,SzarikPies,0,banan1222,h3dm1/3,jenova,mephala,500,131,2021-06-14 09:36:53,15.0,rampart,red,rampart,blue,Mirror
Tyranuxus,1,KesZu,0,Tyranuxus,6lm10a/tp,thant,ivor,2900,136,2021-06-15 10:09:21,20.0,necropolis,red,rampart,blue,XL+U
wnukos,1,Matrido,0,wnukos,h3dm1/3,mephala,alagar,-900,132,2021-06-16 08:42:52,16.0,rampart,red,rampart,blue,Mirror
Krwawy_ponurak,0,The_spot,1,The_spot,mt_Andromeda,lorelei,ajit,-700,133,2021-06-16 08:50:36,17.0,dungeon,red,dungeon,blue,Mirror
Blackyyo,1,Podejrzanyy,0,Blackyyo,h3dm1/3,neela,josephine,1000,127,2021-06-16 12:19:00,14.0,tower,red,tower,blue,Mirror
Xeno[CV],1,Barbarez,0,Xeno[CV],mt_Andromeda,lorelei,ajit,1500,123,2021-06-16 12:25:32,10.0,dungeon,red,dungeon,blue,Mirror
Brodazy,0,alpaca,1,alpaca,mt_Firewalk,wystan,drakon,5400,126,2021-06-16 12:50:53,13.0,fortress,red,fortress,blue,Mirror
KniazJarema,1,Krwawy_ponurak,0,KniazJarema,mt_Andromeda,giselle,jenova,1200,132,2021-06-16 13:16:38,16.0,rampart,red,rampart,blue,Mirror
