result,town,hero,color,bidding,opponent_town,opponent_hero,turns,template,template_type
1,rampart,ivor,blue,-3600.0,dungeon,shakti,11.0,6lm10a/tp,XL+U
1,tower,astral,red,-4600.0,tower,aine,8.0,mt_Firewalk,Mirror
0,tower,aine,blue,4600.0,tower,astral,8.0,mt_Firewalk,Mirror
1,rampart,ivor,red,-1700.0,tower,solmyr,18.0,6lm10a/tp,XL+U
0,tower,solmyr,blue,1700.0,rampart,ivor,18.0,6lm10a/tp,XL+U
0,cove,eovacius,red,800.0,cove,anabel,17.0,h3dm1/3,Mirror
1,cove,anabel,blue,-800.0,cove,eovacius,17.0,h3dm1/3,Mirror
1,rampart,ivor,red,-1300.0,tower,solmyr,21.0,Nostalgia/TP,XL+U
0,tower,solmyr,blue,1300.0,rampart,ivor,21.0,Nostalgia/TP,XL+U
0,dungeon,lorelei,red,-1700.0,cove,anabel,14.0,6lm10a/tp,XL+U
1,cove,anabel,blue,1700.0,dungeon,lorelei,14.0,6lm10a/tp,XL+U
1,fortress,drakon,red,2100.0,rampart,ivor,11.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,-2100.0,fortress,drakon,11.0,6lm10a/tp,XL+U
0,cove,anabel,red,-1300.0,necropolis,thant,16.0,6lm10a/tp,XL+U
1,necropolis,thant,blue,1300.0,cove,anabel,16.0,6lm10a/tp,XL+U
1,rampart,ivor,red,-4800.0,stronghold,tyraxor,16.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,blue,4800.0,rampart,ivor,16.0,6lm10a/tp,XL+U
1,rampart,ivor,red,-800.0,tower,aine,13.0,Nostalgia/TP,XL+U
0,tower,aine,blue,800.0,rampart,ivor,13.0,Nostalgia/TP,XL+U
0,necropolis,thant,red,-5100.0,inferno,calh,30.0,6lm10a/tp,XL+U
1,inferno,calh,blue,5100.0,necropolis,thant,30.0,6lm10a/tp,XL+U
0,dungeon,shakti,red,-2200.0,castle,valeska,16.0,Nostalgia/TP,XL+U
1,castle,valeska,blue,2200.0,dungeon,shakti,16.0,Nostalgia/TP,XL+U
1,rampart,ivor,red,-2200.0,fortress,wystan,18.0,6lm10a/tp,XL+U
0,fortress,wystan,blue,2200.0,rampart,ivor,18.0,6lm10a/tp,XL+U
0,conflux,grindan,red,1200.0,necropolis,thant,30.0,Nostalgia/TP,XL+U
1,necropolis,thant,blue,-1200.0,conflux,grindan,30.0,Nostalgia/TP,XL+U
0,stronghold,tyraxor,red,4100.0,necropolis,thant,25.0,Nostalgia/TP,XL+U
1,necropolis,thant,blue,-4100.0,stronghold,tyraxor,25.0,Nostalgia/TP,XL+U
1,conflux,aenain,red,-800.0,conflux,pasis,18.0,h3dm1/3,Mirror
0,conflux,pasis,blue,800.0,conflux,aenain,18.0,h3dm1/3,Mirror
0,fortress,alkin,red,-1200.0,fortress,tazar,16.0,mt_Andromeda,Mirror
1,fortress,tazar,blue,1200.0,fortress,alkin,16.0,mt_Andromeda,Mirror
0,conflux,aenain,red,4900.0,conflux,ciele,10.0,mt_Firewalk,Mirror
1,conflux,ciele,blue,-4900.0,conflux,aenain,10.0,mt_Firewalk,Mirror
1,rampart,ivor,red,-3800.0,stronghold,tyraxor,20.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,blue,3800.0,rampart,ivor,20.0,6lm10a/tp,XL+U
1,conflux,luna,red,-3400.0,fortress,drakon,19.0,Nostalgia/TP,XL+U
0,fortress,drakon,blue,3400.0,conflux,luna,19.0,Nostalgia/TP,XL+U
1,tower,daremyth,red,-700.0,tower,astral,16.0,mt_Andromeda,Mirror
0,tower,astral,blue,700.0,tower,daremyth,16.0,mt_Andromeda,Mirror
0,cove,jeremy,red,800.0,cove,leena,17.0,h3dm1/3,Mirror
1,cove,leena,blue,-800.0,cove,jeremy,17.0,h3dm1/3,Mirror
0,tower,aine,red,1500.0,necropolis,thant,31.0,6lm10a/tp,XL+U
1,necropolis,thant,blue,-1500.0,tower,aine,31.0,6lm10a/tp,XL+U
0,rampart,jenova,red,900.0,rampart,coronius,3.0,h3dm1/3,Mirror
1,rampart,coronius,blue,-900.0,rampart,jenova,3.0,h3dm1/3,Mirror
1,cove,anabel,red,-3300.0,inferno,calh,18.0,6lm10a/tp,XL+U
0,inferno,calh,blue,3300.0,cove,anabel,18.0,6lm10a/tp,XL+U
0,castle,valeska,red,-3500.0,fortress,wystan,26.0,6lm10a/tp,XL+U
1,fortress,wystan,blue,3500.0,castle,valeska,26.0,6lm10a/tp,XL+U
0,cove,anabel,red,3000.0,fortress,wystan,,6lm10a/tp,XL+U
1,fortress,wystan,blue,-3000.0,cove,anabel,,6lm10a/tp,XL+U
1,inferno,calh,red,5500.0,necropolis,thant,30.0,Nostalgia/TP,XL+U
0,necropolis,thant,blue,-5500.0,inferno,calh,30.0,Nostalgia/TP,XL+U
0,rampart,ivor,red,4000.0,necropolis,thant,19.0,Nostalgia/TP,XL+U
1,necropolis,thant,blue,-4000.0,rampart,ivor,19.0,Nostalgia/TP,XL+U
1,tower,aine,red,400.0,cove,anabel,21.0,6lm10a/tp,XL+U
0,cove,anabel,blue,-400.0,tower,aine,21.0,6lm10a/tp,XL+U
1,castle,valeska,red,-3800.0,inferno,calh,16.0,Nostalgia/TP,XL+U
0,inferno,calh,blue,3800.0,castle,valeska,16.0,Nostalgia/TP,XL+U
0,fortress,bron,red,-1000.0,fortress,andra,14.0,h3dm1/3,Mirror
1,fortress,andra,blue,1000.0,fortress,bron,14.0,h3dm1/3,Mirror
1,conflux,luna,red,-3200.0,cove,anabel,24.0,Nostalgia/TP,XL+U
0,cove,anabel,blue,3200.0,conflux,luna,24.0,Nostalgia/TP,XL+U
0,stronghold,shiva,red,-700.0,stronghold,crag hack,20.0,h3dm1/3,Mirror
1,stronghold,crag hack,blue,700.0,stronghold,shiva,20.0,h3dm1/3,Mirror
1,conflux,grindan,red,-3100.0,castle,valeska,29.0,Nostalgia/TP,XL+U
0,castle,valeska,blue,3100.0,conflux,grindan,29.0,Nostalgia/TP,XL+U
1,stronghold,gundula,red,-700.0,stronghold,terek,11.0,h3dm1/3,Mirror
0,stronghold,terek,blue,700.0,stronghold,gundula,11.0,h3dm1/3,Mirror
1,rampart,ivor,red,-8800.0,stronghold,tyraxor,26.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,blue,8800.0,rampart,ivor,26.0,6lm10a/tp,XL+U
1,necropolis,thant,red,-3800.0,rampart,ivor,29.0,Nostalgia/TP,XL+U
0,rampart,ivor,blue,3800.0,necropolis,thant,29.0,Nostalgia/TP,XL+U
0,fortress,wystan,red,-3500.0,castle,valeska,17.0,Nostalgia/TP,XL+U
1,castle,valeska,blue,3500.0,fortress,wystan,17.0,Nostalgia/TP,XL+U
1,inferno,calh,red,-4600.0,conflux,luna,14.0,6lm10a/tp,XL+U
0,conflux,luna,blue,4600.0,inferno,calh,14.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,red,-1800.0,tower,aine,23.0,6lm10a/tp,XL+U
1,tower,aine,blue,1800.0,stronghold,tyraxor,23.0,6lm10a/tp,XL+U
0,stronghold,gundula,red,-1000.0,stronghold,crag hack,11.0,h3dm1/3,Mirror
1,stronghold,crag hack,blue,1000.0,stronghold,gundula,11.0,h3dm1/3,Mirror
0,inferno,xyron,red,-900.0,inferno,octavia,22.0,mt_Andromeda,Mirror
1,inferno,octavia,blue,900.0,inferno,xyron,22.0,mt_Andromeda,Mirror
1,necropolis,thant,red,5500.0,rampart,ivor,20.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,-5500.0,necropolis,thant,20.0,6lm10a/tp,XL+U
0,necropolis,thant,red,-4600.0,cove,anabel,18.0,Nostalgia/TP,XL+U
1,cove,anabel,blue,4600.0,necropolis,thant,18.0,Nostalgia/TP,XL+U
1,cove,leena,red,-700.0,cove,jeremy,18.0,h3dm1/3,Mirror
0,cove,jeremy,blue,700.0,cove,leena,18.0,h3dm1/3,Mirror
0,cove,illor,red,-5000.0,cove,jeremy,18.0,mt_Firewalk,Mirror
1,cove,jeremy,blue,5000.0,cove,illor,18.0,mt_Firewalk,Mirror
1,castle,valeska,red,-100.0,rampart,ivor,20.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,100.0,castle,valeska,20.0,6lm10a/tp,XL+U
1,inferno,marius,red,1100.0,inferno,nymus,10.0,mt_Andromeda,Mirror
0,inferno,nymus,blue,-1100.0,inferno,marius,10.0,mt_Andromeda,Mirror
1,tower,aine,red,-200.0,stronghold,tyraxor,15.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,blue,200.0,tower,aine,15.0,6lm10a/tp,XL+U
0,fortress,tazar,red,3100.0,necropolis,thant,18.0,6lm10a/tp,XL+U
1,necropolis,thant,blue,-3100.0,fortress,tazar,18.0,6lm10a/tp,XL+U
1,conflux,grindan,red,-3900.0,tower,aine,19.0,6lm10a/tp,XL+U
0,tower,aine,blue,3900.0,conflux,grindan,19.0,6lm10a/tp,XL+U
1,stronghold,shiva,red,800.0,stronghold,terek,15.0,h3dm1/3,Mirror
0,stronghold,terek,blue,-800.0,stronghold,shiva,15.0,h3dm1/3,Mirror
0,rampart,coronius,red,5000.0,rampart,aeris,16.0,mt_Firewalk,Mirror
1,rampart,aeris,blue,-5000.0,rampart,coronius,16.0,mt_Firewalk,Mirror
0,castle,valeska,red,-800.0,cove,anabel,11.0,6lm10a/tp,XL+U
1,cove,anabel,blue,800.0,castle,valeska,11.0,6lm10a/tp,XL+U
1,tower,daremyth,red,800.0,tower,astral,9.0,h3dm1/3,Mirror
0,tower,astral,blue,-800.0,tower,daremyth,9.0,h3dm1/3,Mirror
1,dungeon,damacon,red,-900.0,dungeon,lorelei,18.0,h3dm1/3,Mirror
0,dungeon,lorelei,blue,900.0,dungeon,damacon,18.0,h3dm1/3,Mirror
1,inferno,calh,red,3700.0,castle,valeska,17.0,Nostalgia/TP,XL+U
0,castle,valeska,blue,-3700.0,inferno,calh,17.0,Nostalgia/TP,XL+U
0,cove,anabel,red,800.0,tower,astral,9.0,6lm10a/tp,XL+U
1,tower,astral,blue,-800.0,cove,anabel,9.0,6lm10a/tp,XL+U
1,stronghold,tyraxor,red,2300.0,rampart,ivor,5.0,6lm10a/tp,XL+U
0,rampart,ivor,blue,-2300.0,stronghold,tyraxor,5.0,6lm10a/tp,XL+U
1,conflux,brissa,red,900.0,conflux,monere,8.0,mt_Andromeda,Mirror
0,conflux,monere,blue,-900.0,conflux,brissa,8.0,mt_Andromeda,Mirror
0,dungeon,damacon,red,2500.0,dungeon,dace,17.0,mt_Firewalk,Mirror
1,dungeon,dace,blue,-2500.0,dungeon,damacon,17.0,mt_Firewalk,Mirror
0,tower,astral,red,-1200.0,tower,daremyth,13.0,h3dm1/3,Mirror
1,tower,daremyth,blue,1200.0,tower,astral,13.0,h3dm1/3,Mirror
1,necropolis,thant,red,-4900.0,fortress,tazar,19.0,Nostalgia/TP,XL+U
0,fortress,tazar,blue,4900.0,necropolis,thant,19.0,Nostalgia/TP,XL+U
0,stronghold,tyraxor,red,3200.0,dungeon,shakti,1.0,6lm10a/tp,XL+U
1,dungeon,shakti,blue,-3200.0,stronghold,tyraxor,1.0,6lm10a/tp,XL+U
1,inferno,calh,red,1000.0,tower,aine,15.0,Nostalgia/TP,XL+U
0,tower,aine,blue,-1000.0,inferno,calh,15.0,Nostalgia/TP,XL+U
0,rampart,coronius,red,-1000.0,rampart,jenova,13.0,mt_Andromeda,Mirror
1,rampart,jenova,blue,1000.0,rampart,coronius,13.0,mt_Andromeda,Mirror
1,castle,sorsha,red,-500.0,castle,orrin,19.0,h3dm1/3,Mirror
0,castle,orrin,blue,500.0,castle,sorsha,19.0,h3dm1/3,Mirror
0,fortress,andra,red,1000.0,fortress,bron,15.0,h3dm1/3,Mirror
1,fortress,bron,blue,-1000.0,fortress,andra,15.0,h3dm1/3,Mirror
0,stronghold,gundula,red,-800.0,stronghold,crag hack,14.0,h3dm1/3,Mirror
1,stronghold,crag hack,blue,800.0,stronghold,gundula,14.0,h3dm1/3,Mirror
0,rampart,giselle,red,-800.0,rampart,jenova,29.0,h3dm1/3,Mirror
1,rampart,jenova,blue,800.0,rampart,giselle,29.0,h3dm1/3,Mirror
0,cove,illor,red,-800.0,cove,leena,19.0,h3dm1/3,Mirror
1,cove,leena,blue,800.0,cove,illor,19.0,h3dm1/3,Mirror
0,inferno,xyron,red,800.0,inferno,octavia,17.0,h3dm1/3,Mirror
1,inferno,octavia,blue,-800.0,inferno,xyron,17.0,h3dm1/3,Mirror
1,cove,anabel,red,-400.0,castle,valeska,19.0,6lm10a/tp,XL+U
0,castle,valeska,blue,400.0,cove,anabel,19.0,6lm10a/tp,XL+U
1,dungeon,shakti,red,-1600.0,stronghold,tyraxor,13.0,Nostalgia/TP,XL+U
0,stronghold,tyraxor,blue,1600.0,dungeon,shakti,13.0,Nostalgia/TP,XL+U
1,necropolis,thant,red,-4000.0,inferno,calh,37.0,Mini-nostalgia,Other
0,inferno,calh,blue,4000.0,necropolis,thant,37.0,Mini-nostalgia,Other
1,castle,lord haart,red,700.0,castle,beatrice,3.0,h3dm1/3,Mirror
0,castle,beatrice,blue,-700.0,castle,lord haart,3.0,h3dm1/3,Mirror
1,castle,beatrice,red,900.0,castle,lord haart,20.0,h3dm1/3,Mirror
0,castle,lord haart,blue,-900.0,castle,beatrice,20.0,h3dm1/3,Mirror
1,tower,astral,red,5000.0,tower,neela,19.0,mt_Firewalk,Mirror
0,tower,neela,blue,-5000.0,tower,astral,19.0,mt_Firewalk,Mirror
1,tower,aine,red,-700.0,inferno,ignatius,30.0,Nostalgia/TP,XL+U
0,inferno,ignatius,blue,700.0,tower,aine,30.0,Nostalgia/TP,XL+U
1,rampart,coronius,red,700.0,rampart,aeris,8.0,h3dm1/3,Mirror
0,rampart,aeris,blue,-700.0,rampart,coronius,8.0,h3dm1/3,Mirror
0,inferno,calh,red,1300.0,castle,valeska,19.0,Nostalgia/TP,XL+U
1,castle,valeska,blue,-1300.0,inferno,calh,19.0,Nostalgia/TP,XL+U
1,stronghold,tyraxor,red,2000.0,dungeon,gunnar,13.0,6lm10a/tp,XL+U
0,dungeon,gunnar,blue,-2000.0,stronghold,tyraxor,13.0,6lm10a/tp,XL+U
1,castle,valeska,red,-3000.0,stronghold,tyraxor,12.0,6lm10a/tp,XL+U
0,stronghold,tyraxor,blue,3000.0,castle,valeska,12.0,6lm10a/tp,XL+U
1,rampart,aeris,red,5400.0,rampart,coronius,6.0,mt_Firewalk,Mirror
0,rampart,coronius,blue,-5400.0,rampart,aeris,6.0,mt_Firewalk,Mirror
0,conflux,luna,red,-300.0,castle,valeska,24.0,Nostalgia/TP,XL+U
1,castle,valeska,blue,300.0,conflux,luna,24.0,Nostalgia/TP,XL+U
0,castle,adelaide,red,0.0,castle,caitlin,12.0,mt_MP,Mirror
1,castle,caitlin,blue,-0.0,castle,adelaide,12.0,mt_MP,Mirror
0,dungeon,mutare drake,red,-4700.0,dungeon,mutare,14.0,mt_Firewalk,Mirror
1,dungeon,mutare,blue,4700.0,dungeon,mutare drake,14.0,mt_Firewalk,Mirror
1,castle,caitlin,red,-3000.0,castle,adelaide,17.0,mt_Firewalk,Mirror
0,castle,adelaide,blue,3000.0,castle,caitlin,17.0,mt_Firewalk,Mirror
0.5,conflux,luna,red,-4000.0,cove,eovacius,14.0,6lm10a/tp,XL+U
0.5,cove,eovacius,blue,4000.0,conflux,luna,14.0,6lm10a/tp,XL+U
1,fortress,tazar,red,-4900.0,fortress,mirlanda,8.0,mt_Firewalk,Mirror
0,fortress,mirlanda,blue,4900.0,fortress,tazar,8.0,mt_Firewalk,Mirror
1,fortress,wystan,red,-5800.0,fortress,mirlanda,15.0,mt_Firewalk,Mirror
0,fortress,mirlanda,blue,5800.0,fortress,wystan,15.0,mt_Firewalk,Mirror
0,tower,aine,red,200.0,conflux,luna,15.0,Nostalgia/TP,XL+U
1,conflux,luna,blue,-200.0,tower,aine,15.0,Nostalgia/TP,XL+U
1,fortress,drakon,red,-4900.0,fortress,wystan,12.0,mt_Firewalk,Mirror
0,fortress,wystan,blue,4900.0,fortress,drakon,12.0,mt_Firewalk,Mirror
1,dungeon,ajit,red,800.0,dungeon,sephinroth,19.0,h3dm1/3,Mirror
0,dungeon,sephinroth,blue,-800.0,dungeon,ajit,19.0,h3dm1/3,Mirror
0,castle,valeska,red,-3000.0,cove,anabel,3.0,6lm10a/tp,XL+U
1,cove,anabel,blue,3000.0,castle,valeska,3.0,6lm10a/tp,XL+U
1,castle,caitlin,red,4300.0,castle,adelaide,7.0,mt_Firewalk,Mirror
0,castle,adelaide,blue,-4300.0,castle,caitlin,7.0,mt_Firewalk,Mirror
0,cove,anabel,red,-2200.0,fortress,wystan,8.0,6lm10a/tp,XL+U
1,fortress,wystan,blue,2200.0,cove,anabel,8.0,6lm10a/tp,XL+U
0,inferno,octavia,red,-1000.0,inferno,nymus,17.0,mt_Andromeda,Mirror
1,inferno,nymus,blue,1000.0,inferno,octavia,17.0,mt_Andromeda,Mirror
1,inferno,calh,red,4700.0,necropolis,thant,19.0,Nostalgia/TP,XL+U
0,necropolis,thant,blue,-4700.0,inferno,calh,19.0,Nostalgia/TP,XL+U
0,inferno,nymus,red,-800.0,inferno,xyron,19.0,mt_Andromeda,Mirror
1,inferno,xyron,blue,800.0,inferno,nymus,19.0,mt_Andromeda,Mirror
1,fortress,bron,red,-800.0,fortress,wystan,30.0,h3dm1/3,Mirror
0,fortress,wystan,blue,800.0,fortress,bron,30.0,h3dm1/3,Mirror
0,cove,anabel,red,2900.0,conflux,luna,27.0,6lm10a/tp,XL+U
1,conflux,luna,blue,-2900.0,cove,anabel,27.0,6lm10a/tp,XL+U
1,tower,aine,red,4000.0,necropolis,vidomina,27.0,6lm10a/tp,XL+U
0,necropolis,vidomina,blue,-4000.0,tower,aine,27.0,6lm10a/tp,XL+U
0,stronghold,gretchin,red,2700.0,tower,aine,16.0,6lm10a/tp,XL+U
1,tower,aine,blue,-2700.0,stronghold,gretchin,16.0,6lm10a/tp,XL+U
0,castle,tyris,red,1000.0,castle,lord haart,22.0,h3dm1/3,Mirror
1,castle,lord haart,blue,-1000.0,castle,tyris,22.0,h3dm1/3,Mirror
1,rampart,ivor,red,2500.0,conflux,grindan,16.0,Nostalgia/TP,XL+U
0,conflux,grindan,blue,-2500.0,rampart,ivor,16.0,Nostalgia/TP,XL+U
0,necropolis,sandro,red,-6300.0,necropolis,nagash,14.0,mt_Firewalk,Mirror
1,necropolis,nagash,blue,6300.0,necropolis,sandro,14.0,mt_Firewalk,Mirror
1,dungeon,shakti,red,-1100.0,fortress,wystan,9.0,Nostalgia/TP,XL+U
0,fortress,wystan,blue,1100.0,dungeon,shakti,9.0,Nostalgia/TP,XL+U
1,stronghold,gretchin,red,700.0,stronghold,gundula,4.0,h3dm1/3,Mirror
0,stronghold,gundula,blue,-700.0,stronghold,gretchin,4.0,h3dm1/3,Mirror
0,rampart,mephala,red,-1000.0,rampart,elleshar,7.0,h3dm1/3,Mirror
1,rampart,elleshar,blue,1000.0,rampart,mephala,7.0,h3dm1/3,Mirror
0,tower,solmyr,red,2900.0,rampart,ivor,18.0,6lm10a/tp,XL+U
1,rampart,ivor,blue,-2900.0,tower,solmyr,18.0,6lm10a/tp,XL+U
1,rampart,ivor,red,-4600.0,cove,cassiopeia,42.0,6lm10a/tp,XL+U
0,cove,cassiopeia,blue,4600.0,rampart,ivor,42.0,6lm10a/tp,XL+U
1,rampart,ivor,red,3700.0,conflux,grindan,14.0,6lm10a/tp,XL+U
0,conflux,grindan,blue,-3700.0,rampart,ivor,14.0,6lm10a/tp,XL+U
0,conflux,brissa,red,-700.0,conflux,ciele,20.0,h3dm1/3,Mirror
1,conflux,ciele,blue,700.0,conflux,brissa,20.0,h3dm1/3,Mirror
0,rampart,elleshar,red,700.0,rampart,jenova,6.0,h3dm1/3,Mirror
1,rampart,jenova,blue,-700.0,rampart,elleshar,6.0,h3dm1/3,Mirror
0,dungeon,shakti,red,-2000.0,cove,anabel,20.0,6lm10a/tp,XL+U
1,cove,anabel,blue,2000.0,dungeon,shakti,20.0,6lm10a/tp,XL+U
0,dungeon,damacon,red,1200.0,dungeon,sephinroth,20.0,h3dm1/3,Mirror
1,dungeon,sephinroth,blue,-1200.0,dungeon,damacon,20.0,h3dm1/3,Mirror
1,inferno,calh,red,1600.0,fortress,wystan,30.0,Nostalgia/TP,XL+U
0,fortress,wystan,blue,-1600.0,inferno,calh,30.0,Nostalgia/TP,XL+U
0,stronghold,tyraxor,red,2600.0,conflux,luna,18.0,6lm10a/tp,XL+U
1,conflux,luna,blue,-2600.0,stronghold,tyraxor,18.0,6lm10a/tp,XL+U
1,tower,cyra,red,-3100.0,stronghold,tyraxor,12.0,Nostalgia/TP,XL+U
0,stronghold,tyraxor,blue,3100.0,tower,cyra,12.0,Nostalgia/TP,XL+U
1,dungeon,shakti,red,3700.0,castle,valeska,27.0,Nostalgia/TP,XL+U
0,castle,valeska,blue,-3700.0,dungeon,shakti,27.0,Nostalgia/TP,XL+U
1,fortress,wystan,red,300.0,cove,anabel,20.0,Nostalgia/TP,XL+U
0,cove,anabel,blue,-300.0,fortress,wystan,20.0,Nostalgia/TP,XL+U
0,tower,cyra,red,-700.0,tower,astral,24.0,mt_Antares,Mirror
1,tower,astral,blue,700.0,tower,cyra,24.0,mt_Antares,Mirror
1,necropolis,septienna,red,-900.0,necropolis,isra,25.0,mt_Antares,Mirror
0,necropolis,isra,blue,900.0,necropolis,septienna,25.0,mt_Antares,Mirror
0,castle,adela,red,-700.0,castle,lord haart,12.0,h3dm1/3,Mirror
1,castle,lord haart,blue,700.0,castle,adela,12.0,h3dm1/3,Mirror
1,tower,aine,red,-3500.0,dungeon,alamar,13.0,Nostalgia/TP,XL+U
0,dungeon,alamar,blue,3500.0,tower,aine,13.0,Nostalgia/TP,XL+U
1,inferno,calh,red,2700.0,stronghold,tyraxor,12.0,6lm10a/tp,XL+U
